miliseconds,steering,throttle
1697213144.4603941,0.2,0.3
1697213144.4662762,0.2,0.3
1697213144.4727666,0.2,0.3
1697213144.4801753,0.2,0.3
1697213144.4881008,0.2,0.3
1697213144.4957135,0.2,0.3
1697213144.5017424,0.2,0.3
1697213144.5087802,0.2,0.3
1697213144.5170598,0.2,0.3
1697213144.525288,0.2,0.3
1697213144.5322366,0.2,0.3
1697213144.5382915,0.2,0.3
1697213144.5457811,0.2,0.3
1697213144.5530229,0.2,0.3
1697213144.5620189,0.2,0.3
1697213144.5679014,0.2,0.3
1697213144.5742044,0.2,0.3
1697213144.5827425,0.2,0.3
1697213144.5915308,0.2,0.3
1697213144.61534,0.2,0.3
1697213144.623365,0.2,0.3
1697213144.6300166,0.2,0.3
1697213144.6356952,0.2,0.3
1697213144.642216,0.2,0.3
1697213144.6497421,0.2,0.3
1697213144.65677,0.2,0.3
1697213144.663204,0.2,0.3
1697213144.6688647,0.2,0.3
1697213144.6748466,0.2,0.3
1697213144.682624,0.2,0.3
1697213144.6901731,0.2,0.3
1697213144.6978443,0.2,0.3
1697213144.7034488,0.2,0.3
1697213144.7099004,0.2,0.3
1697213144.7179573,0.2,0.3
1697213144.7266176,0.2,0.3
1697213144.7332191,0.2,0.3
1697213144.7398365,0.2,0.3
1697213144.7471416,0.2,0.3
1697213144.755651,0.2,0.3
1697213144.7634234,0.2,0.3
1697213144.7695708,0.2,0.3
1697213144.7766905,0.2,0.3
1697213144.7850099,0.2,0.3
1697213144.7931488,0.2,0.3
1697213144.7990797,0.2,0.3
1697213144.8050866,0.2,0.3
1697213144.812507,0.2,0.3
1697213144.8203404,0.2,0.3
1697213144.8266602,0.2,0.3
1697213144.833636,0.2,0.3
1697213144.8398154,0.2,0.3
1697213144.850199,0.2,0.3
1697213144.8615675,0.2,0.3
1697213144.8673072,0.2,0.3
1697213144.8736446,0.2,0.3
1697213144.8845878,0.2,0.3
1697213144.8918855,0.2,0.3
1697213144.901039,0.2,0.3
1697213144.9086626,0.2,0.3
1697213144.917054,0.2,0.3
1697213144.9233556,0.2,0.3
1697213144.932459,0.2,0.3
1697213144.9385564,0.2,0.3
1697213144.9504066,0.2,0.3
1697213144.9591029,0.2,0.3
1697213144.9660172,0.2,0.3
1697213144.9718568,0.2,0.3
1697213144.9817543,0.2,0.3
1697213144.9914706,0.2,0.3
1697213145.000174,0.2,0.3
1697213145.0072184,0.2,0.3
1697213145.0157962,0.2,0.3
1697213145.0265954,0.2,0.3
1697213145.0352683,0.2,0.3
1697213145.0435534,0.2,0.3
1697213145.0513613,0.2,0.3
1697213145.0596943,0.2,0.3
